Date,24HPass,3DPass,7DPass,Trips,Miles,Year,Month,Day,MonthYear,revenue,LogTrips
2014-01-15,241.0,0.0,30.0,23500,32.303000000000004,2014,1,15,2014-01-01,3147.95,10.06475570013225
2014-01-16,208.0,0.0,37.0,21528,28.807,2014,1,16,2014-01-01,2994.6,9.977109692406742
2014-01-17,282.0,0.0,34.0,21840,30.773000000000003,2014,1,17,2014-01-01,3655.8999999999996,9.991498429858842
2014-01-18,176.0,0.0,15.0,10222,14.595999999999998,2014,1,18,2014-01-01,2126.2,9.232297539328226
2014-01-19,194.0,0.0,13.0,9768,13.591,2014,1,19,2014-01-01,2255.3,9.18686701579054
2014-01-20,133.0,0.0,11.0,14581,20.103,2014,1,20,2014-01-01,1598.35,9.587474590316285
2014-01-21,5.0,0.0,1.0,4171,5.4289999999999985,2014,1,21,2014-01-01,74.75,8.335911094196945
2014-01-22,4.0,0.0,3.0,2762,4.061,2014,1,22,2014-01-01,114.8,7.923710333969238
2014-01-23,9.0,0.0,1.0,5743,8.336,2014,1,23,2014-01-01,114.55,8.655737000864297
2014-01-24,15.0,0.0,6.0,6901,9.375,2014,1,24,2014-01-01,299.25,8.839421607620602
2014-01-25,34.0,0.0,0.0,4716,6.004,2014,1,25,2014-01-01,338.29999999999995,8.458716261657262
2014-01-26,37.0,0.0,6.0,5462,6.691,2014,1,26,2014-01-01,518.15,8.60557030203365
2014-01-27,55.0,0.0,18.0,14304,18.127,2014,1,27,2014-01-01,997.25,9.568294497413296
2014-01-28,18.0,0.0,7.0,11066,13.722,2014,1,28,2014-01-01,354.1,9.311632623458054
2014-01-29,21.0,0.0,6.0,10838,13.394,2014,1,29,2014-01-01,358.95,9.29081375612606
2014-01-30,42.0,0.0,7.0,13198,16.914,2014,1,30,2014-01-01,592.9,9.487820581943367
2014-01-31,130.0,0.0,10.0,15886,21.541,2014,1,31,2014-01-01,1543.5,9.673193497193077
2014-02-01,349.0,0.0,29.0,13797,20.707,2014,2,1,2014-02-01,4197.549999999999,9.532206456208034
2014-02-02,449.0,0.0,10.0,15009,22.915,2014,2,2,2014-02-01,4717.549999999999,9.616405300156314
2014-02-03,4.0,0.0,2.0,2839,3.635,2014,2,3,2014-02-01,89.8,7.951207156472972
2014-02-04,37.0,0.0,2.0,9551,12.708,2014,2,4,2014-02-01,418.15,9.164401140034737
2014-02-05,8.0,0.0,1.0,3076,4.603,2014,2,5,2014-02-01,104.6,8.031385330625534
